run_id,experiment_name,center,model_family,split,region,n_samples,n_unique_classes_true,macro_f1,balanced_accuracy,accuracy
20260306_165135_w2_1500_file_mean_arpls_msc_catboost,w2_1500_file_mean_arpls_msc_catboost,1500,catboost,all,striatum,36,3,0.3797953964194374,0.4166666666666667,0.4166666666666667
20260306_165135_w2_1500_file_mean_arpls_msc_catboost,w2_1500_file_mean_arpls_msc_catboost,1500,catboost,all,cerebellum,28,3,0.1851851851851852,0.1388888888888889,0.17857142857142858
20260306_165233_w2_1500_file_mean_arpls_msc_logreg,w2_1500_file_mean_arpls_msc_logreg,1500,logreg,cv,cortex,54,3,0.38484320557491286,0.38888888888888884,0.3888888888888889
20260306_165233_w2_1500_file_mean_arpls_msc_logreg,w2_1500_file_mean_arpls_msc_logreg,1500,logreg,cv,striatum,36,3,0.32827586206896553,0.3611111111111111,0.3611111111111111
20260306_165233_w2_1500_file_mean_arpls_msc_logreg,w2_1500_file_mean_arpls_msc_logreg,1500,logreg,cv,cerebellum,28,3,0.08366013071895424,0.061111111111111116,0.07142857142857142
20260306_165233_w2_1500_file_mean_arpls_msc_logreg,w2_1500_file_mean_arpls_msc_logreg,1500,logreg,all,cortex,54,3,0.38484320557491286,0.38888888888888884,0.3888888888888889
20260306_165233_w2_1500_file_mean_arpls_msc_logreg,w2_1500_file_mean_arpls_msc_logreg,1500,logreg,all,striatum,36,3,0.32827586206896553,0.3611111111111111,0.3611111111111111
20260306_165233_w2_1500_file_mean_arpls_msc_logreg,w2_1500_file_mean_arpls_msc_logreg,1500,logreg,all,cerebellum,28,3,0.08366013071895424,0.061111111111111116,0.07142857142857142
20260306_165327_w2_1500_file_mean_arpls_msc_svm,w2_1500_file_mean_arpls_msc_svm,1500,svm_rbf,cv,cortex,54,3,0.3989139515455305,0.40740740740740744,0.4074074074074074
20260306_165327_w2_1500_file_mean_arpls_msc_svm,w2_1500_file_mean_arpls_msc_svm,1500,svm_rbf,cv,striatum,36,3,0.27355332376853175,0.3888888888888889,0.3888888888888889
20260306_165327_w2_1500_file_mean_arpls_msc_svm,w2_1500_file_mean_arpls_msc_svm,1500,svm_rbf,cv,cerebellum,28,3,0.21052631578947367,0.16666666666666666,0.21428571428571427
20260306_165327_w2_1500_file_mean_arpls_msc_svm,w2_1500_file_mean_arpls_msc_svm,1500,svm_rbf,all,cortex,54,3,0.3989139515455305,0.40740740740740744,0.4074074074074074
20260306_165327_w2_1500_file_mean_arpls_msc_svm,w2_1500_file_mean_arpls_msc_svm,1500,svm_rbf,all,striatum,36,3,0.27355332376853175,0.3888888888888889,0.3888888888888889
20260306_165327_w2_1500_file_mean_arpls_msc_svm,w2_1500_file_mean_arpls_msc_svm,1500,svm_rbf,all,cerebellum,28,3,0.21052631578947367,0.16666666666666666,0.21428571428571427
20260306_165524_w2_2900_file_mean_airpls_emsc_catboost,w2_2900_file_mean_airpls_emsc_catboost,2900,catboost,cv,cortex,54,3,0.3853803716608595,0.40740740740740744,0.4074074074074074
20260306_165524_w2_2900_file_mean_airpls_emsc_catboost,w2_2900_file_mean_airpls_emsc_catboost,2900,catboost,cv,striatum,36,3,0.3321449792038027,0.36111111111111116,0.3611111111111111
20260306_165524_w2_2900_file_mean_airpls_emsc_catboost,w2_2900_file_mean_airpls_emsc_catboost,2900,catboost,cv,cerebellum,28,3,0.030303030303030304,0.05555555555555555,0.03571428571428571
20260306_165524_w2_2900_file_mean_airpls_emsc_catboost,w2_2900_file_mean_airpls_emsc_catboost,2900,catboost,all,cortex,54,3,0.3853803716608595,0.40740740740740744,0.4074074074074074
20260306_165524_w2_2900_file_mean_airpls_emsc_catboost,w2_2900_file_mean_airpls_emsc_catboost,2900,catboost,all,striatum,36,3,0.3321449792038027,0.36111111111111116,0.3611111111111111
20260306_165524_w2_2900_file_mean_airpls_emsc_catboost,w2_2900_file_mean_airpls_emsc_catboost,2900,catboost,all,cerebellum,28,3,0.030303030303030304,0.05555555555555555,0.03571428571428571
