center,region,band_id,wn_start,wn_end,wn_peak,score_mean_f,score_max_f,score_sum_f,n_features_in_band,n_samples,strategy,weighted_score,center_weight
2900,overall,8,2781.117188,2820.28125,2781.117188,7.321653679847721,12.560528053504518,351.4393766326906,48,118,new_primary_top3_top4_a007,6.80913792225838,0.9299999999999999
2900,overall,1,2501.051758,2540.145508,2536.605469,6.757152865095281,9.85424885967437,304.07187892928766,45,118,new_primary_top3_top4_a007,6.284152164538611,0.9299999999999999
2900,overall,10,2860.736328,2899.999023,2881.230469,6.7068592431662974,15.03790097445154,328.63610291514857,49,118,new_primary_top3_top4_a007,6.2373790961446565,0.9299999999999999
2900,overall,5,2661.4375,2699.995117,2675.186523,6.336395033479817,11.116874662293595,291.47417154007155,46,118,new_primary_top3_top4_a007,5.892847381136229,0.9299999999999999
2900,overall,2,2541.030273,2580.655273,2564.847656,6.2987835591898085,12.309254385791913,289.7440437227312,46,118,new_primary_top3_top4_a007,5.857868710046522,0.9299999999999999
2900,overall,20,3261.345703,3284.467773,3265.083984,6.085594232948083,10.57853212843132,194.73901545433867,32,118,new_primary_top3_top4_a007,5.659602636641718,0.9299999999999999
2900,overall,17,3141.444336,3180.522461,3146.060547,6.0707181690271845,14.298688284747161,315.6773447894136,52,118,new_primary_top3_top4_a007,5.645767897195281,0.9299999999999999
2900,overall,15,3061.413086,3100.450195,3093.450195,5.73189487081012,17.069333896648786,292.3266384113161,51,118,new_primary_top3_top4_a007,5.330662229853411,0.9299999999999999
2900,overall,14,3021.227539,3060.628906,3021.227539,5.140712886013852,6.5845869243996775,262.17635718670647,51,118,new_primary_top3_top4_a007,4.780862983992883,0.9299999999999999
2900,overall,12,2941.326172,2980.663086,2960.638672,5.117444836804188,8.922956997003064,255.87224184020937,50,118,new_primary_top3_top4_a007,4.759223698227895,0.9299999999999999
2900,overall,9,2821.111328,2859.914063,2846.744141,4.969221216461349,13.086049526406805,238.52261839014477,48,118,new_primary_top3_top4_a007,4.621375731309055,0.9299999999999999
2900,overall,13,2981.461914,3020.435547,3016.474609,4.941703689407877,9.67729892136214,247.08518447039384,50,118,new_primary_top3_top4_a007,4.595784431149325,0.9299999999999999
2900,overall,4,2620.798828,2660.577148,2657.132813,4.8312526985372335,10.580301351097406,227.06887683124998,47,118,new_primary_top3_top4_a007,4.4930650096396265,0.9299999999999999
2900,overall,0,2460.719727,2500.15918,2494.800781,3.7936447101815425,7.847180376886387,170.7140119581694,45,118,new_primary_top3_top4_a007,3.5280895804688344,0.9299999999999999
2900,overall,19,3220.75293,3260.597656,3238.84375,2.20775890819237,4.177759874220904,119.21898104238797,54,118,new_primary_top3_top4_a007,2.053215784618904,0.9299999999999999
2900,overall,3,2581.532227,2619.929688,2583.285156,1.929727389919245,4.6190634973678115,86.83773254636603,45,118,new_primary_top3_top4_a007,1.7946464726248978,0.9299999999999999
2900,overall,18,3181.285156,3219.99707,3219.99707,1.7772937190663074,3.716780459879948,92.41927339144799,52,118,new_primary_top3_top4_a007,1.6528831587316657,0.9299999999999999
1500,overall,13,1451.255859,1489.476563,1478.887695,18.867438743269606,31.433806523612414,698.0952335009754,37,118,new_primary_top3_top4_a007,1.3207207120288724,0.07
1500,overall,12,1410.613281,1450.19043,1440.59082,8.905147376612762,23.676286354517558,338.39560031128497,38,118,new_primary_top3_top4_a007,0.6233603163628934,0.07
1500,overall,14,1490.535156,1529.526367,1490.535156,6.729983587990103,23.455965876769152,255.73937634362392,38,118,new_primary_top3_top4_a007,0.4710988511593072,0.07
