center,region,wn,score_f,n_samples
1500,overall,1062.401367,8.363939880480261,118
1500,overall,1063.546875,6.975275991024379,118
1500,overall,1064.691406,4.832397252161662,118
1500,overall,1065.836914,2.6564058035840756,118
1500,overall,1066.981445,1.2280641872516413,118
1500,overall,1068.125977,0.8659495343851166,118
1500,overall,1069.269531,1.3930959897290986,118
1500,overall,1070.413086,1.4134709383040385,118
1500,overall,1071.556641,1.4404120924104884,118
1500,overall,1072.700195,1.6070555100763206,118
1500,overall,1073.84375,1.4182800659535535,118
1500,overall,1074.986328,1.2269910665505581,118
1500,overall,1076.128906,1.2659649368223085,118
1500,overall,1077.271484,1.445688853046654,118
1500,overall,1078.414063,1.7318703117254788,118
1500,overall,1079.555664,2.1988853190993254,118
1500,overall,1080.697266,1.9038343115868972,118
1500,overall,1081.838867,1.4894572596227746,118
1500,overall,1082.980469,1.0261846154304257,118
1500,overall,1084.121094,1.2500370790549509,118
1500,overall,1085.261719,1.9031456032454839,118
1500,overall,1086.402344,2.082326571787169,118
1500,overall,1087.542969,1.6145753487095946,118
1500,overall,1088.682617,1.241885349135928,118
1500,overall,1089.823242,1.2427019103830668,118
1500,overall,1090.962891,1.067083129359215,118
1500,overall,1092.101563,0.7116509440576683,118
1500,overall,1093.241211,0.7313698194859909,118
1500,overall,1094.379883,0.9503296888809735,118
1500,overall,1095.518555,1.0962612892962593,118
1500,overall,1096.657227,2.2242269678045634,118
1500,overall,1097.794922,3.261649811862156,118
1500,overall,1098.932617,4.534167005395418,118
1500,overall,1100.070313,6.712596015643282,118
1500,overall,1101.208008,6.658119258106799,118
1500,overall,1102.345703,4.857270384015423,118
1500,overall,1103.482422,2.749676471855585,118
1500,overall,1104.619141,1.8958707761373303,118
1500,overall,1105.755859,1.9040869132881888,118
1500,overall,1106.891602,2.1138492548236987,118
1500,overall,1108.02832,2.7481491145010875,118
1500,overall,1109.164063,2.887131771452722,118
1500,overall,1110.299805,3.556139378817425,118
1500,overall,1111.43457,3.868331494163803,118
1500,overall,1112.569336,3.61315628614317,118
1500,overall,1113.705078,3.554537868981031,118
1500,overall,1114.838867,3.2157692612037967,118
1500,overall,1115.973633,3.2478800456454096,118
1500,overall,1117.107422,3.338012284823785,118
1500,overall,1118.242188,3.4040190034073454,118
1500,overall,1119.375,4.287019889538413,118
1500,overall,1120.508789,5.474688667687074,118
1500,overall,1121.641602,7.240127695230964,118
1500,overall,1122.775391,9.873195700991182,118
1500,overall,1123.908203,12.811235640271713,118
1500,overall,1125.040039,14.978958682990257,118
1500,overall,1126.172852,15.010701567197799,118
1500,overall,1127.304688,15.283553786488257,118
1500,overall,1128.436523,15.063440489893608,118
1500,overall,1129.568359,14.800196125697115,118
1500,overall,1130.699219,14.278568737586069,118
1500,overall,1131.830078,12.541329482238291,118
1500,overall,1132.960938,9.386198132739475,118
1500,overall,1134.091797,5.845520901345635,118
1500,overall,1135.222656,2.8010117059434134,118
1500,overall,1136.352539,1.350171909619042,118
1500,overall,1137.482422,1.2067700907771441,118
1500,overall,1138.612305,1.851977504806726,118
1500,overall,1139.741211,2.5451305460035822,118
1500,overall,1140.871094,2.834176026116663,118
1500,overall,1142.0,2.7328718733983846,118
1500,overall,1143.12793,2.4546767110538217,118
1500,overall,1144.256836,2.3467963967755514,118
1500,overall,1145.384766,2.2530819884333284,118
1500,overall,1146.513672,2.1728831663811348,118
1500,overall,1147.640625,2.2164203244306395,118
1500,overall,1148.768555,2.2421578364178845,118
1500,overall,1149.895508,2.2104769205613817,118
1500,overall,1151.023438,2.122403589123288,118
1500,overall,1152.149414,2.0781142745392747,118
1500,overall,1153.276367,1.9280546326876506,118
1500,overall,1154.40332,1.8612475542636322,118
1500,overall,1155.529297,1.741480154644212,118
1500,overall,1156.655273,1.6856014912286714,118
1500,overall,1157.780273,1.652076768599638,118
1500,overall,1158.90625,1.6621963418859713,118
1500,overall,1160.03125,1.5367650402170956,118
1500,overall,1161.15625,1.3173225007249256,118
1500,overall,1162.28125,1.186954923079471,118
1500,overall,1163.405273,0.9660904305021252,118
1500,overall,1164.530273,0.6303052298692171,118
1500,overall,1165.654297,0.3017731970575403,118
1500,overall,1166.777344,0.04159467353764921,118
1500,overall,1167.901367,0.08160646752146841,118
1500,overall,1169.024414,0.4452497430249462,118
1500,overall,1170.147461,1.0439973257135113,118
1500,overall,1171.270508,1.523939284999434,118
1500,overall,1172.393555,1.5887862366251762,118
1500,overall,1173.515625,1.1096336631541999,118
1500,overall,1174.637695,0.5458151289587929,118
1500,overall,1175.759766,0.07114392958028885,118
1500,overall,1176.881836,0.056255927079241944,118
1500,overall,1178.00293,0.2682827137986412,118
1500,overall,1179.124023,0.4875558620721397,118
1500,overall,1180.245117,0.528467917052368,118
1500,overall,1181.366211,0.7029973010196283,118
1500,overall,1182.487305,0.7881323101465876,118
1500,overall,1183.607422,0.5364651548355844,118
1500,overall,1184.727539,0.3628035510709376,118
1500,overall,1185.84668,0.4586333458374963,118
1500,overall,1186.966797,0.6131815422451455,118
1500,overall,1188.085938,0.5296717037566473,118
1500,overall,1189.205078,0.6890959559120594,118
1500,overall,1190.324219,0.330855038684166,118
1500,overall,1191.443359,0.370664121509737,118
1500,overall,1192.561523,1.3189841594663496,118
1500,overall,1193.679688,1.2717877616861955,118
1500,overall,1194.797852,1.0758115570899025,118
1500,overall,1195.915039,1.1108367885215145,118
1500,overall,1197.033203,1.2136445996929404,118
1500,overall,1198.150391,1.2969426169185214,118
1500,overall,1199.267578,1.258192822383328,118
1500,overall,1200.383789,1.5644605761038763,118
1500,overall,1201.500977,1.505279876425731,118
1500,overall,1202.617188,1.4440283376043264,118
1500,overall,1203.733398,1.5838044628048367,118
1500,overall,1204.849609,1.7961365971320191,118
1500,overall,1205.964844,3.40851706802039,118
1500,overall,1207.080078,5.855233855082489,118
1500,overall,1208.195313,3.7114417853974713,118
1500,overall,1209.310547,2.60743098622017,118
1500,overall,1210.425781,3.044965827615729,118
1500,overall,1211.540039,3.733187882230464,118
1500,overall,1212.654297,3.225901463806697,118
1500,overall,1213.768555,2.6006561215736683,118
1500,overall,1214.881836,2.3029210417211057,118
1500,overall,1215.996094,1.956776915788013,118
1500,overall,1217.109375,2.361782754644675,118
1500,overall,1218.222656,2.5005763040377413,118
1500,overall,1219.334961,2.480058316522077,118
1500,overall,1220.448242,2.297914549009781,118
1500,overall,1221.560547,2.4911152338065463,118
1500,overall,1222.672852,2.7685509925063387,118
1500,overall,1223.78418,3.378405435237689,118
1500,overall,1224.896484,3.489073551365541,118
1500,overall,1226.007813,3.7382994881311906,118
1500,overall,1227.119141,4.068219112686592,118
1500,overall,1228.230469,4.417344243557086,118
1500,overall,1229.34082,4.170995892534186,118
1500,overall,1230.451172,3.7897673560353593,118
1500,overall,1231.561523,1.4656252425232523,118
1500,overall,1232.671875,1.0647749852229227,118
1500,overall,1233.782227,1.133283104865717,118
1500,overall,1234.891602,1.1277081405308624,118
1500,overall,1236.000977,1.0023183595443068,118
1500,overall,1237.110352,1.2266409333290134,118
1500,overall,1238.219727,1.0051949162751608,118
1500,overall,1239.328125,0.11649261890955875,118
1500,overall,1240.436523,0.34629426812670155,118
1500,overall,1241.544922,0.0681161101129898,118
1500,overall,1242.65332,0.5378629659929819,118
1500,overall,1243.760742,0.06699895930772555,118
1500,overall,1244.868164,0.18845115751278424,118
1500,overall,1245.975586,0.3499464273677483,118
1500,overall,1247.083008,0.582938692103597,118
1500,overall,1248.19043,0.7875650328403783,118
1500,overall,1249.296875,3.9591328257085756,118
1500,overall,1250.40332,2.8681398315113054,118
1500,overall,1251.509766,2.935534237454826,118
1500,overall,1252.615234,3.2134239866608394,118
1500,overall,1253.72168,2.8606548870612065,118
1500,overall,1254.827148,3.3591204650343554,118
1500,overall,1255.932617,3.7517029061460843,118
