center,region,wn,score_f,n_samples
1500,cerebellum,1409.539063,5.555823714602278,28
1500,cerebellum,1410.613281,12.053399530923745,28
1500,cerebellum,1411.686523,15.869020951175019,28
1500,cerebellum,1412.759766,18.946689668135967,28
1500,cerebellum,1413.833008,20.073488399195142,28
1500,cerebellum,1414.90625,21.897166600935485,28
1500,cerebellum,1415.978516,20.60167279216638,28
1500,cerebellum,1417.050781,21.00498642300098,28
1500,cerebellum,1418.123047,18.262862156857583,28
1500,cerebellum,1419.195313,13.986424649510715,28
1500,cerebellum,1420.266602,12.500898826771028,28
1500,cerebellum,1421.338867,11.70824875051674,28
1500,cerebellum,1422.410156,12.950570961034348,28
1500,cerebellum,1423.481445,11.46304482590096,28
1500,cerebellum,1424.551758,10.270237231948807,28
1500,cerebellum,1425.623047,6.447798552775036,28
1500,cerebellum,1426.693359,3.288634318824959,28
1500,cerebellum,1427.763672,2.685050010589096,28
1500,cerebellum,1428.833984,1.4557598012774737,28
1500,cerebellum,1429.90332,0.9319002110052484,28
1500,cerebellum,1430.973633,0.6120674094770676,28
1500,cerebellum,1432.042969,0.2938675666473807,28
1500,cerebellum,1433.112305,0.32209272201591665,28
1500,cerebellum,1434.180664,0.46398962104001085,28
1500,cerebellum,1435.25,0.980986772710658,28
1500,cerebellum,1436.318359,2.1867033890964045,28
1500,cerebellum,1437.386719,3.9378300477733643,28
1500,cerebellum,1438.455078,6.05019397938328,28
1500,cerebellum,1439.523438,7.710414295525565,28
1500,cerebellum,1440.59082,8.398255880650545,28
1500,cerebellum,1441.658203,8.425309253558373,28
1500,cerebellum,1442.725586,7.912109180051257,28
1500,cerebellum,1443.792969,6.419472269609279,28
1500,cerebellum,1444.859375,4.743175853511436,28
1500,cerebellum,1445.925781,3.2622219540441,28
1500,cerebellum,1446.992188,1.8446352221410829,28
1500,cerebellum,1448.058594,1.5023317457442826,28
1500,cerebellum,1449.125,1.503953312996608,28
1500,cerebellum,1450.19043,1.4679354887102558,28
1500,cerebellum,1451.255859,1.772199616624472,28
1500,cerebellum,1452.321289,2.196911164387114,28
1500,cerebellum,1453.386719,2.756915070829266,28
1500,cerebellum,1454.452148,3.4597220775454716,28
1500,cerebellum,1455.516602,4.005183799172253,28
1500,cerebellum,1456.581055,5.197742640264212,28
1500,cerebellum,1457.645508,5.361672525665321,28
1500,cerebellum,1458.709961,5.860218581193819,28
1500,cerebellum,1459.773438,7.109960386491321,28
1500,cerebellum,1460.836914,7.706552027969565,28
1500,cerebellum,1461.900391,8.247374674007846,28
1500,cerebellum,1462.963867,8.451260203450643,28
1500,cerebellum,1464.027344,8.4449107770655,28
1500,cerebellum,1465.089844,8.076501349550986,28
1500,cerebellum,1466.152344,7.1775449003976215,28
1500,cerebellum,1467.214844,7.093172802336051,28
1500,cerebellum,1468.277344,5.77441465228966,28
1500,cerebellum,1469.338867,4.864396968284293,28
1500,cerebellum,1470.401367,4.801716815218231,28
1500,cerebellum,1471.462891,4.49456340760998,28
1500,cerebellum,1472.523438,3.601792499665366,28
1500,cerebellum,1473.584961,2.8364031143368087,28
1500,cerebellum,1474.645508,2.187874384777783,28
1500,cerebellum,1475.707031,1.8514830746361888,28
1500,cerebellum,1476.767578,1.6247939425517532,28
1500,cerebellum,1477.827148,1.6876083257678156,28
1500,cerebellum,1478.887695,1.7219786164386268,28
1500,cerebellum,1479.947266,0.935355855813423,28
1500,cerebellum,1481.006836,0.2866877632561501,28
1500,cerebellum,1482.066406,0.27819192962056233,28
1500,cerebellum,1483.125977,0.1891933510946932,28
1500,cerebellum,1484.18457,0.20777295002889243,28
1500,cerebellum,1485.244141,0.16858476601398978,28
1500,cerebellum,1486.302734,0.30125390420359555,28
1500,cerebellum,1487.360352,0.5207627114547824,28
1500,cerebellum,1488.418945,0.8642207354240375,28
1500,cerebellum,1489.476563,1.2140343002231073,28
1500,cerebellum,1490.535156,0.9213393240557697,28
1500,cerebellum,1491.592773,0.6170307823334541,28
1500,cerebellum,1492.649414,0.828764378025346,28
1500,cerebellum,1493.707031,1.7552072008332225,28
1500,cerebellum,1494.763672,2.1902578088178704,28
1500,cerebellum,1495.820313,1.4878319267821827,28
1500,cerebellum,1496.876953,1.573076186932388,28
1500,cerebellum,1497.933594,1.3341595684839884,28
1500,cerebellum,1498.989258,0.19458495619421318,28
1500,cerebellum,1500.044922,0.6031560924516446,28
1500,cerebellum,1501.100586,1.3289038921135945,28
1500,cerebellum,1502.15625,2.975912638971653,28
1500,cerebellum,1503.211914,4.002542279014329,28
1500,cerebellum,1504.266602,4.0546466702742645,28
1500,cerebellum,1505.321289,4.052370941892535,28
